,Count,Name,AverageWindSpeed,AverageTemp,SnowFall,Precipitation,Thunder,Smoke,MinTemp,MaxTemp
2017-01-01,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.92,27,0.0,0.0,0.0,0.0,17,40
2017-01-02,113,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.26,34,0.0,0.11,0.0,1.0,25,40
2017-01-03,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,38,0.0,0.0,0.0,0.0,19,39
2017-01-04,102,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17.0,18,0.0,0.0,0.0,0.0,7,19
2017-01-05,126,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,9,0.0,0.0,0.0,0.0,3,13
2017-01-06,137,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,4,0.0,0.0,0.0,0.0,0,9
2017-01-07,123,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.74,6,0.0,0.0,0.0,0.0,0,18
2017-01-08,127,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,9,0.0,0.0,0.0,0.0,2,19
2017-01-09,150,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.97,22,0.2,0.02,0.0,0.0,19,33
2017-01-10,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23.26,38,0.0,0.2,0.0,1.0,25,51
2017-01-11,154,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.08,32,0.0,0.33,1.0,0.0,25,43
2017-01-12,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.18,26,0.2,0.05,0.0,0.0,19,28
2017-01-13,247,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,20,0.0,0.0,0.0,0.0,16,27
2017-01-14,141,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.7,29,0.0,0.0,0.0,0.0,21,35
2017-01-15,115,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2.24,26,0.0,0.0,0.0,1.0,20,36
2017-01-16,128,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,33,0.0,0.9,0.0,1.0,30,37
2017-01-17,151,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,37,0.0,0.48,1.0,0.0,35,39
2017-01-18,141,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,35,0.0,0.0,0.0,0.0,30,36
2017-01-19,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,36,0.0,0.46,0.0,1.0,30,42
2017-01-20,157,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,39,0.0,0.18,0.0,0.0,38,43
2017-01-21,169,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,48,0.0,0.0,0.0,0.0,40,59
2017-01-22,106,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,43,0.0,0.01,0.0,0.0,38,46
2017-01-23,133,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,39,0.0,0.0,0.0,0.0,36,42
2017-01-24,124,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,37,0.0,0.0,0.0,1.0,34,38
2017-01-25,159,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,37,0.0,0.09,0.0,1.0,34,42
2017-01-26,143,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,33,0.0,0.0,0.0,0.0,30,34
2017-01-27,136,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.76,28,0.0,0.0,0.0,0.0,24,31
2017-01-28,118,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,27,0.0,0.0,0.0,1.0,24,29
2017-01-29,93,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,27,0.1,0.0,0.0,0.0,21,28
2017-01-30,123,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,22,0.1,0.01,0.0,0.0,15,37
2017-01-31,132,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.66,36,0.0,0.03,0.0,0.0,35,39
2017-02-01,141,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,35,0.0,0.0,0.0,0.0,21,38
2017-02-02,156,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,21,0.0,0.0,0.0,0.0,14,24
2017-02-03,172,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,19,0.0,0.0,0.0,0.0,14,28
2017-02-04,128,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,22,0.0,0.0,0.0,0.0,10,33
2017-02-05,108,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,33,0.0,0.0,0.0,0.0,24,38
2017-02-06,135,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,33,0.0,0.0,0.0,1.0,21,55
2017-02-07,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,44,0.0,0.47,1.0,0.0,32,50
2017-02-08,117,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.18,31,0.0,0.0,0.0,0.0,19,32
2017-02-09,144,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,19,0.0,0.0,0.0,0.0,13,25
2017-02-10,198,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.65,26,0.0,0.0,0.0,0.0,18,41
2017-02-11,147,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,41,0.0,0.0,0.0,1.0,34,49
2017-02-12,124,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.88,39,0.0,0.0,0.0,0.0,31,47
2017-02-13,148,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,35,0.0,0.0,0.0,0.0,25,44
2017-02-14,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,40,0.0,0.0,0.0,0.0,31,50
